Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-05-31T23:43:05,2021-05-31T23:56:16,090,Paciuksenkaari,072,Eteläinen Hesperiankatu,2779,787
2021-05-31T23:41:33,2021-06-01T00:06:01,030,Itämerentori,019,Rautatientori / itä,2964,1464
2021-05-31T23:40:50,2021-05-31T23:43:16,004,Viiskulma,003,Kapteeninpuistikko,565,145
2021-05-31T23:40:48,2021-05-31T23:55:06,703,Elfvik,725,Rummunlyöjänkatu,2787,853
2021-05-31T23:39:12,2021-05-31T23:45:44,043,Karhupuisto,115,Venttiilikuja,1491,390
2021-05-31T23:38:39,2021-05-31T23:43:38,030,Itämerentori,201,Länsisatamankuja,904,294
2021-05-31T23:38:24,2021-05-31T23:42:45,094,Laajalahden aukio,090,Paciuksenkaari,898,255
2021-05-31T23:37:28,2021-05-31T23:47:30,009,Erottajan aukio,061,Länsisatamankatu,2496,600
2021-05-31T23:37:25,2021-05-31T23:48:25,096,Huopalahdentie,099,Muusantori,2361,660
2021-05-31T23:37:17,2021-05-31T23:44:09,117,Brahen puistikko,041,Ympyrätalo,1186,408
2021-05-31T23:36:00,2021-05-31T23:54:08,078,Messeniuksenkatu,402,Bermudankuja,3924,1083
2021-05-31T23:34:09,2021-05-31T23:44:32,022,Rautatientori / länsi,043,Karhupuisto,2007,619
2021-05-31T23:34:08,2021-05-31T23:35:13,016,Liisanpuistikko,016,Liisanpuistikko,0,61
2021-05-31T23:33:58,2021-05-31T23:49:52,001,Kaivopuisto,057,Lauttasaaren ostoskeskus,4515,954
2021-05-31T23:33:29,2021-05-31T23:54:13,547,Jämeräntaival,547,Jämeräntaival,1872,1239
2021-05-31T23:32:38,2021-06-01T08:41:05,021,Töölönlahdenkatu,034,Kansallismuseo,551,242
2021-05-31T23:31:27,2021-05-31T23:57:24,315,Vuosaaren liikuntapuisto,272,Marjaniementie,5495,1553
2021-05-31T23:31:10,2021-05-31T23:35:18,555,Kalevalantie,557,Louhentori,618,244
2021-05-31T23:30:45,2021-06-01T15:45:49,573,Urheilupuisto (M),511,Sateentie,2834,58499
2021-05-31T23:30:19,2021-05-31T23:34:35,031,Marian sairaala,063,Jätkäsaarenlaituri,967,243
2021-05-31T23:30:06,2021-05-31T23:49:17,547,Jämeräntaival,547,Jämeräntaival,739,1146
2021-05-31T23:29:30,2021-05-31T23:49:01,041,Ympyrätalo,028,Lastenlehto,2717,1166
2021-05-31T23:28:16,2021-05-31T23:31:00,082,Töölöntulli,084,Paciuksenkatu,665,159
2021-05-31T23:27:33,2021-05-31T23:30:47,070,Sammonpuistikko,031,Marian sairaala,724,193
2021-05-31T23:27:20,2021-05-31T23:53:07,205,Ilmalan asema,034,Kansallismuseo,4284,1542
2021-05-31T23:27:13,2021-05-31T23:38:48,579,Niittymaa,651,Suurpellonaukio,2979,691
2021-05-31T23:26:32,2021-05-31T23:30:21,006,Hietalahdentori,030,Itämerentori,1039,224
2021-05-31T23:23:34,2021-05-31T23:49:44,042,Haapaniemenkatu,147,Käpylän asema,4712,1564
2021-05-31T23:23:31,2021-05-31T23:49:39,042,Haapaniemenkatu,147,Käpylän asema,4903,1567
2021-05-31T23:23:27,2021-05-31T23:33:02,711,Kirjurinkuja,727,Ratsutori,1325,569
2021-05-31T23:23:22,2021-05-31T23:31:24,046,Diakoniapuisto,077,Nordenskiöldinaukio,1670,477
2021-05-31T23:23:00,2021-05-31T23:30:36,020,Kaisaniemenpuisto,043,Karhupuisto,1742,455
2021-05-31T23:22:28,2021-05-31T23:44:19,517,Länsituuli,143,Kuikkarinne,5711,1306
2021-05-31T23:22:09,2021-05-31T23:43:09,068,Albertinkatu,095,Munkkiniemen aukio,5405,1256
2021-05-31T23:21:02,2021-05-31T23:25:15,579,Niittymaa,581,Niittykumpu (M),688,248
2021-05-31T23:21:01,2021-05-31T23:24:52,519,Tapionaukio,511,Sateentie,918,231
2021-05-31T23:20:51,2021-05-31T23:25:48,547,Jämeräntaival,533,Tekniikantie,1128,295
2021-05-31T23:19:56,2021-05-31T23:26:59,529,Keilaniemi (M),547,Jämeräntaival,1733,418
2021-05-31T23:19:02,2021-05-31T23:23:23,033,Kauppakorkeakoulu,063,Jätkäsaarenlaituri,1197,257
2021-05-31T23:17:52,2021-05-31T23:33:38,031,Marian sairaala,016,Liisanpuistikko,3050,941
2021-05-31T23:17:45,2021-05-31T23:24:15,030,Itämerentori,402,Bermudankuja,1378,386
2021-05-31T23:16:59,2021-05-31T23:42:33,711,Kirjurinkuja,565,Mankkaanaukio,5827,1527
2021-05-31T23:16:15,2021-05-31T23:18:23,737,Muurarinkuja,731,Leppävaarankäytävä,396,123
2021-05-31T23:15:47,2021-05-31T23:26:07,122,Lintulahdenkatu,245,Kulosaari (M),2903,618
2021-05-31T23:15:17,2021-05-31T23:27:36,040,Hakaniemi (M),068,Albertinkatu,2693,733
2021-05-31T23:15:11,2021-05-31T23:25:06,041,Ympyrätalo,032,Eläinmuseo,1866,591
2021-05-31T23:14:24,2021-05-31T23:21:04,027,Eerikinkatu,063,Jätkäsaarenlaituri,1037,395
2021-05-31T23:14:12,2021-05-31T23:19:43,119,Gebhardinaukio,045,Brahen kenttä,833,332
2021-05-31T23:14:11,2021-05-31T23:23:28,503,Keilalahti,513,Hakalehto,2532,556
2021-05-31T23:13:52,2021-05-31T23:23:20,579,Niittymaa,629,Piispanportti,2554,567
2021-05-31T23:13:41,2021-05-31T23:26:38,725,Rummunlyöjänkatu,703,Elfvik,12,772
2021-05-31T23:13:34,2021-05-31T23:17:20,751,Vallipolku,749,Vallikatu,643,221
2021-05-31T23:13:15,2021-05-31T23:21:54,072,Eteläinen Hesperiankatu,078,Messeniuksenkatu,1490,515
2021-05-31T23:11:06,2021-05-31T23:31:03,028,Lastenlehto,079,Uimastadion,3405,1196
2021-05-31T23:10:39,2021-05-31T23:19:57,030,Itämerentori,027,Eerikinkatu,1455,558
2021-05-31T23:10:17,2021-05-31T23:21:34,900,Orionintie,555,Kalevalantie,2450,672
2021-05-31T23:10:10,2021-05-31T23:23:26,073,Kesäkatu,118,Fleminginkatu,2789,792
2021-05-31T23:10:01,2021-05-31T23:20:34,030,Itämerentori,027,Eerikinkatu,1429,629
2021-05-31T23:09:57,2021-05-31T23:19:22,553,Metsänneidonpolku,547,Jämeräntaival,2200,564
2021-05-31T23:09:26,2021-05-31T23:22:29,013,Merisotilaantori,021,Töölönlahdenkatu,2922,779
2021-05-31T23:09:15,2021-05-31T23:33:36,294,Postipuisto,037,Töölönkatu,6450,1457
2021-05-31T23:09:04,2021-05-31T23:20:30,040,Hakaniemi (M),013,Merisotilaantori,2668,681
2021-05-31T23:08:41,2021-05-31T23:26:16,239,Viikin tiedepuisto,141,Intiankatu,4399,1054
2021-05-31T23:08:39,2021-05-31T23:15:10,007,Designmuseo,017,Varsapuistikko,1274,391
2021-05-31T23:08:29,2021-05-31T23:15:17,731,Leppävaarankäytävä,707,Majurinkulma,1433,401
2021-05-31T23:07:58,2021-05-31T23:33:33,006,Hietalahdentori,054,Gyldenintie,4422,1532
2021-05-31T23:07:55,2021-05-31T23:08:18,294,Postipuisto,294,Postipuisto,0,21
2021-05-31T23:06:34,2021-05-31T23:17:12,026,Kamppi (M),046,Diakoniapuisto,3272,636
2021-05-31T23:06:33,2021-05-31T23:24:26,115,Venttiilikuja,116,Linnanmäki,4351,1070
2021-05-31T23:06:02,2021-05-31T23:19:28,900,Orionintie,625,Suomenlahdentie,4135,802
2021-05-31T23:05:53,2021-05-31T23:13:39,625,Suomenlahdentie,603,Matinlahdenranta,1774,461
2021-05-31T23:05:38,2021-05-31T23:10:48,711,Kirjurinkuja,719,Säteri,1210,305
2021-05-31T23:05:38,2021-05-31T23:08:15,609,Sepetlahdentie,607,Nuottaniementie,665,152
2021-05-31T23:05:22,2021-05-31T23:12:55,239,Viikin tiedepuisto,240,Viikin normaalikoulu,1403,452
2021-05-31T23:05:10,2021-05-31T23:10:25,270,Tulisuontie,262,Siilitie (M),1235,311
2021-05-31T23:03:42,2021-05-31T23:15:16,627,Piispansilta,607,Nuottaniementie,2178,689
2021-05-31T23:03:38,2021-05-31T23:15:29,631,Friisilänaukio,625,Suomenlahdentie,1417,707
2021-05-31T23:03:03,2021-05-31T23:13:32,037,Töölönkatu,045,Brahen kenttä,2083,628
2021-05-31T23:02:23,2021-05-31T23:08:06,018,Porthania,002,Laivasillankatu,1184,338
2021-05-31T23:02:03,2021-05-31T23:22:39,063,Jätkäsaarenlaituri,124,Isoisänsilta,5606,1234
2021-05-31T23:02:03,2021-05-31T23:26:59,130,Teollisuuskatu,143,Kuikkarinne,7510,1491
2021-05-31T23:00:51,2021-05-31T23:38:04,653,Lukutori,653,Lukutori,2519,2229
2021-05-31T23:00:44,2021-05-31T23:17:58,015,Ritarikatu,075,Korjaamo,3285,1030
2021-05-31T23:00:32,2021-05-31T23:24:17,763,Kalkkipellonmäki,105,Tilkantori,5093,1425
2021-05-31T22:59:56,2021-05-31T23:10:08,121,Vilhonvuorenkatu,016,Liisanpuistikko,1721,607
2021-05-31T22:59:18,2021-05-31T23:11:47,137,Arabian kauppakeskus,138,Arabiankatu,1509,744
2021-05-31T22:59:11,2021-05-31T23:16:00,090,Paciuksenkaari,078,Messeniuksenkatu,3236,1004
2021-05-31T22:59:07,2021-05-31T23:12:02,900,Orionintie,637,Ruomelantie,3089,774
2021-05-31T22:58:52,2021-05-31T23:06:17,111,Esterinportti,077,Nordenskiöldinaukio,1680,440
2021-05-31T22:58:45,2021-05-31T22:59:06,121,Vilhonvuorenkatu,121,Vilhonvuorenkatu,0,17
2021-05-31T22:58:42,2021-05-31T23:04:14,040,Hakaniemi (M),019,Rautatientori / itä,1202,327
2021-05-31T22:57:45,2021-05-31T23:19:21,141,Intiankatu,089,Tilkanvierto,4425,1292
2021-05-31T22:57:08,2021-05-31T23:16:49,057,Lauttasaaren ostoskeskus,003,Kapteeninpuistikko,4028,1178
2021-05-31T22:56:47,2021-05-31T23:01:00,024,Mannerheimintie,049,Annankatu,786,248
2021-05-31T22:56:29,2021-05-31T23:01:07,162,Leppäsuonaukio,036,Apollonkatu,796,272
2021-05-31T22:55:42,2021-05-31T22:56:03,262,Siilitie (M),262,Siilitie (M),0,17
2021-05-31T22:55:07,2021-05-31T23:27:06,041,Ympyrätalo,076,Olympiastadion,1651,1915
2021-05-31T22:55:04,2021-05-31T23:02:57,115,Venttiilikuja,046,Diakoniapuisto,1104,468
2021-05-31T22:54:55,2021-05-31T23:07:45,505,Westendinasema,517,Länsituuli,2454,766
2021-05-31T22:54:46,2021-05-31T22:55:09,262,Siilitie (M),262,Siilitie (M),0,18
2021-05-31T22:54:45,2021-05-31T22:59:57,020,Kaisaniemenpuisto,123,Näkinsilta,1241,308
2021-05-31T22:54:10,2021-05-31T23:17:34,328,Lallukankuja,314,Lokitie,4653,1400
2021-05-31T22:53:57,2021-05-31T23:14:12,587,Hauenkallio,651,Suurpellonaukio,3957,1213
2021-05-31T22:53:55,2021-05-31T22:54:18,262,Siilitie (M),262,Siilitie (M),0,18
2021-05-31T22:53:55,2021-05-31T23:02:33,245,Kulosaari (M),121,Vilhonvuorenkatu,2309,515
2021-05-31T22:53:48,2021-05-31T23:14:28,587,Hauenkallio,651,Suurpellonaukio,3826,1235
2021-05-31T22:53:40,2021-05-31T22:57:19,030,Itämerentori,063,Jätkäsaarenlaituri,561,215
2021-05-31T22:53:34,2021-05-31T23:02:58,111,Esterinportti,086,Kuusitie,2007,560
2021-05-31T22:53:03,2021-05-31T23:02:27,069,Kalevankatu,005,Sepänkatu,1092,560
2021-05-31T22:52:16,2021-05-31T23:09:13,019,Rautatientori / itä,132,Hollolantie,3602,1013
2021-05-31T22:52:07,2021-05-31T23:01:53,022,Rautatientori / länsi,149,Toinen linja,2046,582
2021-05-31T22:52:00,2021-05-31T22:57:40,015,Ritarikatu,161,Eteläesplanadi,786,335
2021-05-31T22:51:51,2021-05-31T22:59:50,030,Itämerentori,054,Gyldenintie,2327,476
2021-05-31T22:51:49,2021-05-31T23:06:02,040,Hakaniemi (M),124,Isoisänsilta,3943,848
2021-05-31T22:51:17,2021-05-31T23:01:09,012,Kanavaranta,026,Kamppi (M),1894,592
2021-05-31T22:50:18,2021-05-31T23:02:31,311,Ramsinniementie,311,Ramsinniementie,1768,728
2021-05-31T22:49:25,2021-05-31T23:10:04,076,Olympiastadion,103,Vihdintie,3651,1234
2021-05-31T22:48:58,2021-05-31T23:05:19,252,Humalniementie,252,Humalniementie,1139,976
2021-05-31T22:48:58,2021-05-31T22:59:00,235,Katariina Saksilaisen katu,235,Katariina Saksilaisen katu,1660,598
2021-05-31T22:48:31,2021-05-31T22:50:41,133,Paavalinpuisto,134,Haukilahdenkatu,485,129
2021-05-31T22:48:22,2021-05-31T23:16:22,103,Vihdintie,711,Kirjurinkuja,5648,1675
2021-05-31T22:48:22,2021-05-31T22:55:50,095,Munkkiniemen aukio,103,Vihdintie,1725,444
2021-05-31T22:48:03,2021-05-31T22:58:47,040,Hakaniemi (M),161,Eteläesplanadi,1508,640
2021-05-31T22:47:56,2021-05-31T23:00:32,075,Korjaamo,043,Karhupuisto,2150,751
2021-05-31T22:47:50,2021-05-31T23:13:52,069,Kalevankatu,069,Kalevankatu,3091,1557
2021-05-31T22:47:40,2021-05-31T22:58:26,119,Gebhardinaukio,111,Esterinportti,2121,642
2021-05-31T22:47:32,2021-05-31T23:07:19,311,Ramsinniementie,311,Ramsinniementie,2399,1182
2021-05-31T22:46:54,2021-05-31T23:34:40,559,Pohjankulma,565,Mankkaanaukio,2246,2862
2021-05-31T22:46:09,2021-05-31T22:51:24,030,Itämerentori,028,Lastenlehto,947,316
2021-05-31T22:44:59,2021-05-31T22:53:38,007,Designmuseo,030,Itämerentori,2166,514
2021-05-31T22:44:50,2021-05-31T22:54:44,041,Ympyrätalo,125,Arielinkatu,2152,589
2021-05-31T22:44:44,2021-05-31T22:45:57,559,Pohjankulma,559,Pohjankulma,32,72
2021-05-31T22:44:31,2021-05-31T22:49:32,573,Urheilupuisto (M),900,Orionintie,833,296
2021-05-31T22:44:19,2021-05-31T23:01:59,246,Tupasaarentie,124,Isoisänsilta,2577,1055
2021-05-31T22:43:31,2021-05-31T22:49:37,045,Brahen kenttä,114,Ratapihantie,1474,361
2021-05-31T22:42:44,2021-05-31T22:51:03,573,Urheilupuisto (M),509,Revontulentie,1917,494
2021-05-31T22:42:24,2021-05-31T22:51:36,009,Erottajan aukio,037,Töölönkatu,1470,547
2021-05-31T22:42:13,2021-05-31T23:07:31,065,Hernesaarenranta,006,Hietalahdentori,3822,1514
2021-05-31T22:42:03,2021-05-31T22:58:47,645,Piispankallio,579,Niittymaa,4118,999
2021-05-31T22:41:42,2021-05-31T23:18:34,065,Hernesaarenranta,067,Perämiehenkatu,976,2208
2021-05-31T22:41:41,2021-05-31T23:15:36,067,Perämiehenkatu,029,Baana,1248,2034
2021-05-31T22:40:42,2021-05-31T23:01:55,149,Toinen linja,001,Kaivopuisto,10566.67,1268
2021-05-31T22:40:26,2021-05-31T22:46:23,009,Erottajan aukio,070,Sammonpuistikko,1484,353
2021-05-31T22:39:35,2021-06-01T03:42:48,048,Mastokatu,013,Merisotilaantori,802,1295
2021-05-31T22:38:43,2021-05-31T22:59:24,272,Marjaniementie,314,Lokitie,4155,1235
2021-05-31T22:38:42,2021-05-31T22:55:33,088,Kiskontie,037,Töölönkatu,2969,1006
2021-05-31T22:38:38,2021-05-31T23:12:23,029,Baana,029,Baana,6714,2023
2021-05-31T22:38:11,2021-05-31T22:46:47,123,Näkinsilta,022,Rautatientori / länsi,1705,511
2021-05-31T22:38:08,2021-05-31T23:08:24,030,Itämerentori,075,Korjaamo,5439,1813
2021-05-31T22:37:59,2021-05-31T22:46:15,112,Rautatieläisenkatu,117,Brahen puistikko,1643,491
2021-05-31T22:37:50,2021-05-31T22:44:27,021,Töölönlahdenkatu,039,Ooppera,1679,393
2021-05-31T22:37:36,2021-05-31T23:18:42,101,Munkkivuoren ostoskeskus,041,Ympyrätalo,7380,2464
2021-05-31T22:37:14,2021-05-31T23:01:10,041,Ympyrätalo,057,Lauttasaaren ostoskeskus,5623,1432
2021-05-31T22:37:12,2021-05-31T23:02:42,055,Puistokaari,037,Töölönkatu,5732,1530
2021-05-31T22:37:01,2021-06-01T03:53:36,027,Eerikinkatu,022,Rautatientori / länsi,455,204
2021-05-31T22:36:36,2021-05-31T22:42:33,126,Kalasatama (M),134,Haukilahdenkatu,1431,353
2021-05-31T22:36:30,2021-05-31T22:45:50,362,Teerisuontie,364,Ala-Malmin tori,2001,555
2021-05-31T22:36:29,2021-05-31T22:44:35,308,Mosaiikkitori,317,Haapasaarentie,1376,480
2021-05-31T22:35:29,2021-05-31T22:41:15,095,Munkkiniemen aukio,098,Ulvilantie,1284,342
2021-05-31T22:35:19,2021-05-31T22:38:45,543,Otaranta,547,Jämeräntaival,445,202
2021-05-31T22:35:14,2021-05-31T22:50:00,262,Siilitie (M),263,Herttoniemen kirkko,1290,880
2021-05-31T22:34:56,2021-05-31T22:49:39,126,Kalasatama (M),141,Intiankatu,2634,879
2021-05-31T22:34:52,2021-05-31T22:38:32,069,Kalevankatu,068,Albertinkatu,512,216
2021-05-31T22:34:29,2021-05-31T22:47:12,039,Ooppera,111,Esterinportti,2203,758
2021-05-31T22:34:28,2021-05-31T22:47:27,017,Varsapuistikko,033,Kauppakorkeakoulu,2278,776
2021-05-31T22:33:52,2021-05-31T22:42:17,731,Leppävaarankäytävä,749,Vallikatu,990,500
2021-05-31T22:33:49,2021-05-31T22:40:43,121,Vilhonvuorenkatu,041,Ympyrätalo,1417,410
2021-05-31T22:33:36,2021-05-31T23:14:37,647,Lystimäki,647,Lystimäki,1600,2456
2021-05-31T22:33:33,2021-05-31T22:54:33,226,Lepolantie,136,Sofianlehdonkatu,4547,1256
2021-05-31T22:33:21,2021-05-31T22:39:45,126,Kalasatama (M),134,Haukilahdenkatu,1435,380
2021-05-31T22:33:19,2021-05-31T22:40:14,627,Piispansilta,611,Matinkartanontie,1314,413
2021-05-31T22:33:02,2021-05-31T22:40:56,045,Brahen kenttä,135,Velodrominrinne,1945,474
2021-05-31T22:32:55,2021-05-31T22:55:30,404,Sompasaari,008,Vanha kirkkopuisto,3749,1351
2021-05-31T22:32:53,2021-05-31T22:37:08,044,Sörnäinen (M),043,Karhupuisto,887,264
2021-05-31T22:32:41,2021-05-31T22:51:28,113,Pasilan asema,026,Kamppi (M),4032,1123
2021-05-31T22:31:58,2021-05-31T22:41:28,110,Maistraatintori,115,Venttiilikuja,1288,566
2021-05-31T22:31:55,2021-05-31T22:54:27,062,Välimerenkatu,111,Esterinportti,5180,1349
2021-05-31T22:31:52,2021-05-31T22:45:07,116,Linnanmäki,044,Sörnäinen (M),2369,791
2021-05-31T22:31:47,2021-06-01T03:32:03,062,Välimerenkatu,402,Bermudankuja,641,204
2021-05-31T22:31:43,2021-05-31T22:40:13,587,Hauenkallio,585,Haukilahdenaukio,1777,509
2021-05-31T22:31:29,2021-05-31T22:40:52,236,Hernepellontie,239,Viikin tiedepuisto,1893,562
2021-05-31T22:31:21,2021-05-31T22:34:59,051,Itälahdenkatu,054,Gyldenintie,1140,219
2021-05-31T22:31:10,2021-05-31T22:36:33,727,Ratsutori,733,Läkkitori,785,322
2021-05-31T22:30:59,2021-05-31T22:42:23,509,Revontulentie,563,Mankkaanlaaksontie,2619,679
2021-05-31T22:30:48,2021-05-31T22:38:01,134,Haukilahdenkatu,290,Vallilan varikko,1253,431
2021-05-31T22:30:41,2021-05-31T22:38:21,134,Haukilahdenkatu,290,Vallilan varikko,1082,454
2021-05-31T22:30:35,2021-05-31T22:47:42,137,Arabian kauppakeskus,040,Hakaniemi (M),3229,1025
2021-05-31T22:30:32,2021-05-31T23:01:17,126,Kalasatama (M),272,Marjaniementie,7089,1845
2021-05-31T22:30:25,2021-05-31T22:49:35,009,Erottajan aukio,038,Töölöntori,3526,1145
2021-05-31T22:30:09,2021-05-31T22:35:43,117,Brahen puistikko,041,Ympyrätalo,1219,332
2021-05-31T22:29:56,2021-05-31T22:35:09,639,Itäportti,647,Lystimäki,635,308
2021-05-31T22:29:53,2021-05-31T22:37:47,111,Esterinportti,089,Tilkanvierto,1662,470
2021-05-31T22:29:45,2021-05-31T22:36:35,727,Ratsutori,733,Läkkitori,661,406
2021-05-31T22:29:43,2021-05-31T22:36:40,069,Kalevankatu,005,Sepänkatu,1067,413
2021-05-31T22:29:42,2021-05-31T22:33:47,030,Itämerentori,006,Hietalahdentori,1004,240
2021-05-31T22:29:32,2021-05-31T22:38:55,071,Hietaniemenkatu,070,Sammonpuistikko,1266,559
2021-05-31T22:29:28,2021-05-31T22:53:13,201,Länsisatamankuja,084,Paciuksenkatu,5301,1421
2021-05-31T22:29:19,2021-05-31T22:53:06,122,Lintulahdenkatu,063,Jätkäsaarenlaituri,5560,1422
2021-05-31T22:29:09,2021-05-31T22:46:30,122,Lintulahdenkatu,038,Töölöntori,3219,1039
2021-05-31T22:28:57,2021-05-31T22:36:17,117,Brahen puistikko,040,Hakaniemi (M),2111,439
2021-05-31T22:28:45,2021-05-31T22:34:31,163,Lehtisaarentie,543,Otaranta,1439,342
2021-05-31T22:28:40,2021-05-31T22:33:02,275,Itäkeskus (M),291,Itäkeskus Metrovarikko,855,258
2021-05-31T22:28:25,2021-05-31T22:28:35,117,Brahen puistikko,117,Brahen puistikko,0,9
2021-05-31T22:28:18,2021-05-31T22:40:46,144,Käpyläntie,144,Käpyläntie,1080,744
2021-05-31T22:28:07,2021-05-31T22:49:28,101,Munkkivuoren ostoskeskus,135,Velodrominrinne,4819,1276
2021-05-31T22:27:42,2021-05-31T22:38:14,126,Kalasatama (M),137,Arabian kauppakeskus,2488,633
2021-05-31T22:27:33,2021-05-31T22:54:04,140,Verkatehtaanpuisto,012,Kanavaranta,6702,1589
2021-05-31T22:27:28,2021-05-31T22:39:11,204,A.I. Virtasen aukio,235,Katariina Saksilaisen katu,2527,698
2021-05-31T22:26:42,2021-05-31T22:48:26,285,Orpaanporras,241,Agronominkatu,2651,1301
2021-05-31T22:26:22,2021-05-31T22:38:19,100,Teljäntie,096,Huopalahdentie,2211,713
2021-05-31T22:26:19,2021-05-31T22:51:55,290,Vallilan varikko,033,Kauppakorkeakoulu,4282,1532
2021-05-31T22:26:19,2021-05-31T22:30:37,290,Vallilan varikko,044,Sörnäinen (M),940,258
2021-05-31T22:26:14,2021-05-31T22:36:54,137,Arabian kauppakeskus,135,Velodrominrinne,1543,635
2021-05-31T22:26:01,2021-05-31T22:30:02,541,"Aalto-yliopisto (M), Korkeakouluaukio",547,Jämeräntaival,1074,237
2021-05-31T22:25:45,2021-05-31T22:43:46,285,Orpaanporras,239,Viikin tiedepuisto,4028,1076
2021-05-31T22:25:03,2021-05-31T22:30:42,028,Lastenlehto,030,Itämerentori,949,337
2021-05-31T22:24:57,2021-05-31T22:40:52,627,Piispansilta,513,Hakalehto,3565,951
2021-05-31T22:24:19,2021-05-31T22:37:52,075,Korjaamo,030,Itämerentori,2775,807
2021-05-31T22:23:52,2021-05-31T22:29:20,573,Urheilupuisto (M),577,Olarinluoma,1691,327
2021-05-31T22:23:24,2021-05-31T22:41:40,135,Velodrominrinne,028,Lastenlehto,5421,1095
2021-05-31T22:23:11,2021-05-31T22:29:32,030,Itämerentori,006,Hietalahdentori,1039,377
2021-05-31T22:22:31,2021-05-31T22:28:06,531,Keilaranta,163,Lehtisaarentie,969,330
2021-05-31T22:22:02,2021-05-31T22:27:47,731,Leppävaarankäytävä,749,Vallikatu,982,340
2021-05-31T22:21:43,2021-05-31T22:39:07,028,Lastenlehto,122,Lintulahdenkatu,3256,1040
2021-05-31T22:21:32,2021-05-31T22:31:58,333,Kivikonkaari,338,Jakomäentie,2015,621
2021-05-31T22:21:16,2021-05-31T22:24:37,162,Leppäsuonaukio,069,Kalevankatu,543,196
2021-05-31T22:20:26,2021-05-31T22:28:39,043,Karhupuisto,115,Venttiilikuja,1654,488
2021-05-31T22:20:16,2021-05-31T22:26:56,024,Mannerheimintie,037,Töölönkatu,1116,395
2021-05-31T22:19:59,2021-05-31T22:30:23,118,Fleminginkatu,110,Maistraatintori,2060,619
2021-05-31T22:19:57,2021-05-31T22:25:04,063,Jätkäsaarenlaituri,027,Eerikinkatu,1033,302
2021-05-31T22:19:49,2021-05-31T22:36:58,135,Velodrominrinne,078,Messeniuksenkatu,2485,1025
2021-05-31T22:19:42,2021-05-31T22:24:57,063,Jätkäsaarenlaituri,027,Eerikinkatu,1023,311
2021-05-31T22:19:40,2021-05-31T22:32:40,037,Töölönkatu,016,Liisanpuistikko,2577,776
